date,RBoKNShF4R,SEO4CUuzjq,O0xVQdZDkw,ENPlJ9KnZc,dhMehoWjdi,BIgjUQMqYu,MDsxTHHA1V,C8HrSJjeFw,d7OGHbmu71,6kE6GvulfI,5BjokX7HQ5
2017-04-22 18:00,443,12,0,0,0,0,0,49,23,76,25
2017-04-22 19:00,304,4,0,0,0,0,0,29,20,91,38
2017-04-22 20:00,613,13,0,0,0,0,0,52,30,162,98
2017-04-22 21:00,590,9,0,0,0,0,0,35,22,169,79
2017-04-22 22:00,474,10,0,0,0,0,0,24,19,143,71
2017-04-22 23:00,421,5,0,0,0,0,0,29,11,130,56
2017-04-23 00:00,342,6,0,0,0,0,0,19,12,175,59
2017-04-23 01:00,349,4,0,0,0,0,0,51,14,234,53
2017-04-23 02:00,286,2,0,0,0,0,0,24,14,126,37
2017-04-23 03:00,261,8,0,0,0,0,0,20,8,100,33
2017-04-23 04:00,205,3,0,0,0,0,0,16,5,96,13
2017-04-23 05:00,100,2,0,0,0,0,0,5,6,40,3
2017-04-23 06:00,125,3,0,0,0,98,97,10,3,43,20
2017-04-23 07:00,113,1,0,0,0,0,0,2,0,33,3
2017-04-23 08:00,97,0,0,0,0,0,0,8,3,13,3
2017-04-23 09:00,96,1,0,0,0,0,0,4,0,10,5
2017-04-23 10:00,102,1,0,0,0,0,0,3,2,10,9
2017-04-23 11:00,64,3,0,0,0,0,0,3,1,17,9
2017-04-23 12:00,102,5,0,0,0,0,0,6,10,41,16
2017-04-23 13:00,122,2,0,0,0,0,0,8,1,54,16
2017-04-23 14:00,80,1,0,0,0,0,0,7,15,32,21
2017-04-23 15:00,53,0,0,0,0,0,0,6,11,45,13
2017-04-23 16:00,58,1,0,0,0,0,0,7,3,37,7
2017-04-23 17:00,49,3,0,0,0,0,0,3,3,22,4
2017-04-23 18:00,41,4,0,0,0,0,0,8,5,28,9
2017-04-23 19:00,110,0,0,0,0,0,0,7,2,7,4
2017-04-23 20:00,46,1,0,0,0,0,0,7,0,10,2
2017-04-23 21:00,42,1,0,0,0,0,0,3,0,9,1
2017-04-23 22:00,32,3,0,0,0,0,0,2,3,16,6
2017-04-23 23:00,27,1,0,0,0,0,0,3,1,6,3
2017-04-24 00:00,34,3,0,0,0,0,0,0,1,2,3
2017-04-24 01:00,21,1,0,0,0,0,0,3,1,41,1
2017-04-24 02:00,17,1,0,0,0,0,0,6,2,11,3
2017-04-24 03:00,24,0,0,0,0,0,0,1,0,6,3
2017-04-24 04:00,21,1,0,0,0,0,0,4,2,4,1
2017-04-24 05:00,29,0,0,0,0,0,0,2,1,6,1
2017-04-24 06:00,29,0,0,0,0,0,0,2,1,1,1
2017-04-24 07:00,11,0,0,135,0,152,141,0,0,2,0
2017-04-24 08:00,4,0,0,0,0,0,0,1,0,0,1
2017-04-24 09:00,9,0,0,0,0,0,0,3,0,0,0
2017-04-24 10:00,12,3,0,0,0,0,0,0,3,2,0
2017-04-24 11:00,6,0,0,0,0,0,0,1,0,3,0
2017-04-24 12:00,8,0,0,0,0,0,0,2,0,11,2
2017-04-24 13:00,13,0,0,0,0,0,0,2,0,3,1
2017-04-24 14:00,4,0,0,0,0,0,0,2,0,9,1
2017-04-24 15:00,10,1,0,0,0,0,0,1,0,2,0
2017-04-24 16:00,3,0,0,0,0,0,0,0,0,0,0
2017-04-24 17:00,0,0,0,0,0,0,0,0,0,0,0
2017-04-24 18:00,0,0,0,0,0,0,0,0,0,0,0
2017-04-24 19:00,0,0,0,0,0,0,0,0,0,0,0
2017-04-24 20:00,0,0,0,0,0,0,0,0,0,0,0
2017-04-24 21:00,3,0,0,0,0,0,0,0,0,2,1
2017-04-24 22:00,9,0,0,0,0,0,0,3,0,0,1
2017-04-24 23:00,2,0,0,0,0,0,0,0,2,0,1
2017-04-25 00:00,2,1,0,0,0,0,0,1,0,2,5
2017-04-25 01:00,2,0,0,0,0,0,0,1,2,0,1
2017-04-25 02:00,0,0,0,0,0,0,0,0,0,1,0
2017-04-25 03:00,6,0,0,0,0,0,0,0,0,1,0
2017-04-25 04:00,9,1,0,0,0,0,0,0,0,0,0
2017-04-25 05:00,4,0,0,0,0,0,0,2,0,4,0
2017-04-25 06:00,13,0,0,0,0,0,0,0,0,2,0
2017-04-25 07:00,3,0,0,0,0,0,0,0,0,0,0
2017-04-25 08:00,2,0,0,0,0,0,0,0,0,0,0
2017-04-25 09:00,0,0,0,0,0,0,0,0,0,0,1
2017-04-25 10:00,1,0,0,0,0,0,0,0,0,1,0
2017-04-25 11:00,2,0,0,0,0,0,0,0,0,1,0
2017-04-25 12:00,9,0,0,0,0,0,0,2,0,0,0
2017-04-25 13:00,5,0,0,0,0,0,0,0,1,0,0
2017-04-25 14:00,3,0,0,0,0,0,0,0,0,1,0
2017-04-25 15:00,5,0,0,0,0,0,0,1,0,1,1
2017-04-25 16:00,5,0,0,0,0,0,0,1,1,2,0
2017-04-25 17:00,1,0,0,0,0,0,0,0,0,1,0
2017-04-25 18:00,2,0,0,0,0,0,0,1,0,2,0
2017-04-25 19:00,6,0,0,0,0,0,0,0,0,0,0
2017-04-25 20:00,4,0,0,0,0,0,0,1,0,0,0
2017-04-25 21:00,5,0,0,0,0,0,0,0,0,3,0
2017-04-25 22:00,0,0,0,0,0,0,0,0,0,0,0
2017-04-25 23:00,0,0,0,0,0,0,0,0,0,0,0
2017-04-26 00:00,2,0,0,0,0,0,0,0,0,0,0
